hash,symbol,company,purpose,bm_desc,date
cbc2ee91437cbbb660630371da5777bb,RAILTEL,Railtel Corporation Of India Limited,Dividend,"To consider Final Dividend, if any",2025-06-15
d0b303e590e6a8e41790df03eef96e1b,BELRISE,Belrise Industries Limited,Financial Results,"To consider and approve the financial results for the quarter and year ended March 31, 2025",2025-06-16
1f2b5ef1d46219246883df3cdc95d77d,INDUSINVIT,Indus Infra Trust,Fund Raising,To consider Fund Raising by issuance of non-convertible debt securities,2025-06-16
c3114228cff21d3f7be356d8d9272392,RAMRAT,Ram Ratna Wires Limited,Financial Results,"To consider and approve the re-adoption of financial statements for the quarter and year ended on March 31, 2025 to give effect to the Scheme of Amalgamation.",2025-06-16
1b79b9ae319e8bb552709403390443fc,SMLT,Sarthak Metals Limited,Other business matters,"To consider and approve the following:1. To approve Directors Report along with its annexure for the financial year ended 31st March, 2025.2. To approve and fix the day, date, time and venue of the Thirtieth Annual General Meeting (AGM) and approve the notice of convening of 30th AGM for the financial year 2024-25.3. To approve record date for the purpose of Final Dividend as per the regulation 42 of the SEBI (Listing Obligations and Disclosure Requirement) Regulations, 2015.",2025-06-16
0ca4110134f763bb6e9d8d9aa1fdd93c,TANLA,Tanla Platforms Limited,Buyback,To consider the proposal for buyback for equity shares,2025-06-16
b8b1c5bf8bce91652251efa55e7d5532,VIPULLTD,Vipul Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-06-16
4cf24797e76ebf8d7c1b60a569b824d4,ZEEL,Zee Entertainment Enterprises Limited,Fund Raising,To consider Fund Raising,2025-06-16
9f41a7936768b5f512b013111356bb62,UGROCAP,Ugro Capital Limited,Fund Raising/Other business matters,Intimation of board meeting scheduled to be held on 20th June 2025,2025-06-17
489c93ab64531533d7e2b3085a0484c8,ORISSAMINE,The Orissa Minerals Development Company Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-17
f92098aa898e0e8a201b59cdee3ecd26,ORISSAMINE,The Orissa Minerals Development Company Limited,Financial Results,"ORISSAMINE : 17-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 10, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 17, 2025,  To consider and approve the financial results for the period ended March 31, 2025",2025-06-17
4b8bdd3333dda06aeb3592387c7ef50f,LORDSCHLO,Lords Chloro Alkali Limited,Other business matters,To consider other business matters,2025-06-17
93d7f3f2e357a9ef1d59f2d8e013baf1,BALLARPUR,Ballarpur Industries Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2024",2025-06-17
5e02c45463f82fdb5168404af4d18723,DJML,DJ Mediaprint & Logistics Limited,Dividend/Other business matters,"Intimation of Board Meeting to be held on Wednesday, 18th June, 2025.Pursuant to Regulation 29 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015 (the 'Listing Regulations').  We would like to inform you that, the Board Meeting of the Company scheduled to be held on Wednesday, 18th June, 2025 to consider interalia to:a. Recommend Final Dividend, if any, on the Equity Shares of the Company for the Financial Year 2024-25b. Consider matters relating to the ensuing Annual General Meeting.c. Other matters, if any.",2025-06-18
a76234fbbc48a36c53b2e1e5695d1813,HIGHWAYS,Highways Infrastructure Trust,Fund Raising,"Prior Intimation of the meeting of the Board of Directors of Highway Concessions One Private Limited (the  Investment Manager  of Highways Infrastructure Trust) scheduled to be held on Wednesday, June 18, 2025 to consider and approve, raising of funds through fresh issuance of non-convertible debt securities and commercial papers in one or more tranches/ series/ issuances/phases, subject to applicable laws and necessary approval from the regulatory/statutory authorities, as may be required.",2025-06-18
cca363733c582d11021a865163005974,TTL,T T Limited,Fund Raising,"Intimation of Board Meeting under Regulation 29 of SEBI (LODR) Regulations, 2015.",2025-06-18
a5f547485814e8107eaf7a6f498f5916,VEDL,Vedanta Limited,Dividend,"Intimation under Regulation 29 of Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015",2025-06-18
04633bc26d49e21965fc79c282371892,TIRUMALCHM,Thirumalai Chemicals Limited,Fund Raising,To consider issue of Equity Shares on a Preferential basis and determination of issue price,2025-06-19
9881bb374b8b8752834add5e55c133b6,RITCO,Ritco Logistics Limited,Other business matters,"The Board Meeting of the Company is scheduled to be held on Thursday, 19th June, 2025 at 2:30 P.M. at the corporate office of the Company at 336, Udyog Vihar, Phase-2, Gurgaon-122016 to conduct the following businesses:1. Proposal for the alteration in the Object clause of the Memorandum of Association.2. To approve the notice of Postal Ballot to seek approval of the Shareholders of the matters mentioned therewith.3. Any other item, if any, with the permission of the chair",2025-06-19
a3a705fde28e55846681aad7ad3ce841,NXST,Nexus Select Trust,Fund Raising,"To consider Fund Raising by Trust by way of issuance of listed, rated, redeemable non-convertible debentures and/or commercial papers in one or more transactions, and/or in one or more series and/or tranches to eligible investor(s) that may be approved from time to time",2025-06-19
5a074b686cbd63abb12e5dd3e89a0582,MOTHERSON,Samvardhana Motherson International Limited,Other business matters,"A meeting of the Board of Directors of the Company scheduled to be held on Thursday, June 19, 2025, wherein the Board of Director shall, inter-alia, consider and may approve the Employee Stock Option Scheme in terms of SEBI (Share Based Employee Benefits and Sweat Equity) Regulations, 2021.",2025-06-19
7d24f3e33b9356eb160108db0bf32823,INFIBEAM,Infibeam Avenues Limited,Fund Raising,"Intimation for the Rights Issue Committee Meeting to be held on Thursday, June 19, 2025 inter alia to consider discuss and approve various terms and conditions of the Rights Issue including determination of the Rights Issue price, Record Date and Rights Entitlement ratio and other matters incidental or connected therewith and to consider other business items, if any.",2025-06-19
8c4089b3bba1b83b8769bd1623727a85,AEGISVOPAK,Aegis Vopak Terminals Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-19
a2b32e34b76358da9bcae02fdda20cf5,COMSYN,Commercial Syn Bags Limited,Other business matters,To consider other business matters,2025-06-19
dba66b9e591aff0bd2f122789a160f94,ASMS,Bartronics India Limited,Other business matters,To consider other business matters,2025-06-19
21ddfddb0b201bc02e73bca31e4290dd,AEGISLOG,Aegis Logistics Limited,Financial Results/Dividend,"To consider and approve the financial results for the period ended March 31, 2025 and dividend",2025-06-19
89e6996731a641d39e13819023d6286d,GODHA,Godha Cabcon & Insulation Limited,Other business matters,To consider other business matters,2025-06-19
ff19866a2099119509a23ff59c8df894,CANBK,Canara Bank,Other business matters,To consider other business matters,2025-06-20
b19e838577f56add54db29b1463c0edf,HEADSUP,Heads UP Ventures Limited,Other business matters,To consider other business matters,2025-06-20
dbb2cddd4ea76e14281c5ad3207f7b58,MANBA,Manba Finance Limited,Fund Raising,Intimation of Board Meeting to be held on 20-06-2025,2025-06-20
fdb12b7ec75bbf0369b9afd3ba8b3476,MOKSH,Moksh Ornaments Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,2025-06-20
01c70c53de4ba32a07ec6135b27cbc2e,ASHIMASYN,Ashima Limited,Fund Raising,To consider Fund Raising by way of issue of Non-Convertible Debentures on private placement basis.,2025-06-21
6bc5d1966a8f0b4cf3bf3f182f53685f,DPWIRES,D P Wires Limited,Other business matters,To consider other business matters,2025-06-21
fe0aa9e807c5ec81beed7aad37545976,LAXMICOT,Laxmi Cotspin Limited,Other business matters,To consider other business matters,2025-06-21
05b26523846e170c05bc2efbbf499fe6,NTPC,NTPC Limited,Fund Raising,"Pursuant to Regulation 29(1)(d) and 50(1)(d) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, it is informed that a meeting of the Board of Directors of NTPC Limited is scheduled to be held on Saturday, 21st June 2025, to inter-alia, consider issue of secured/ unsecured, redeemable, taxable/tax-free, cumulative/non-cumulative, non-convertible debentures (""Bonds/NCDs"") aggregating upto Rs.18,000 Crore, subject to approval of shareholders.",2025-06-21
77f76c88f3205927d7dc02c8909bd0ef,UNITEDPOLY,United Polyfab Gujarat Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,2025-06-21
94cae31bdaed06a8fcb373720449d6b2,RAMRAT,Ram Ratna Wires Limited,Financial Results,"RAMRAT : 23-Jun-2025 :  The Company has informed the Exchange that a Board meeting scheduled to be held on Jun 16, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 23, 2025,  To consider and approve the re-adoption of financial statements for the quarter and year ended on March 31, 2025 to give effect to the Scheme of Amalgamation.",2025-06-23
5c7d914dc87ed4be7c551827a712bd90,PROSTARM,Prostarm Info Systems Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-23
ea8b3943f4d993a0bef089b2669bbb6b,KSHITIJPOL,Kshitij Polyline Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,2025-06-23
b2ad91d0057d5781d77daa95249e6393,GVPTECH,GVP Infotech Limited,Fund Raising,"To consider the brief term of Rights Issue including Equity shares to be offered through the issue, Issue Price per equity share, Right entitlement ratio, Terms of Payment, etc.",2025-06-23
69d6f9d945723c44c83596534bba8caf,BLUSPRING,Bluspring Enterprises Limited,Financial Results,"BLUSPRING : 23-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 25, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 23, 2025,  To consider and approve the financial results for the period ended March 31, 2025",2025-06-23
3cc854286aced145ef095058c7c07787,ASTEC,Astec LifeSciences Limited,Fund Raising,To consider Fund Raising,2025-06-24
38ebb597b900cd7c878d0e8a58f82ad4,DPWIRES,D P Wires Limited,Other business matters,"DPWIRES : 24-Jun-2025 :  The Company has informed the Exchange that a Board meeting to be held on Jun 21, 2025 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on Jun 24, 2025,  To consider other business matters",2025-06-24
1d0d312608645189c9aea521607f20d6,MANCREDIT,Mangal Credit and Fincorp Limited,Fund Raising,"To consider Fund Raising by way of debt issue in the form of debentures, subject to requisite approvals.",2025-06-24
26a2457701aef30541d15638eb8b77f5,MAPMYINDIA,C.E. Info Systems Limited,Other business matters,"To consider other business matters:1.Report of Board of Directors along with Management Discussion & Analysis Report, Business Reporting & Sustainability Report (BRSR) and Corporate Governance Report and other Annexures for the Financial Year ended March 31, 2025;2.Date and time for holding the 30th Annual General Meeting of the company and to approve draft Notice of the same;3.Appointment of the scrutinizer for the purpose of e-voting and for ballot voting at 30th Annual General Meeting of the Company;4.Appointment of M/s. M S K A & Associates, Chartered Accountants, (ICAI Firm Registration No. 105047W) as Statutory Auditors of the Company for a period of 5 years and to recommend the same for approval of shareholders of the Company and5.Appointment of Mr. Santosh Kumar Pradhan, Practising Company Secretary as the Secretarial Auditor for the period of 5 years and to recommend the same for approval of shareholders of the Company.",2025-06-24
dd4b406a0be22120d590a006463d8d09,PRITIKAUTO,Pritika Auto Industries Limited,Other business matters,To consider other business matters,2025-06-24
790441dd63cd832f67d9fe484d689dc5,SCODATUBES,Scoda Tubes Limited,Financial Results/Other business matters,"To consider and approve the financial results for the period ended March 31, 2025 and other business matters",2025-06-24
d9799eeb2065428c4114e8fc4c3a776e,VALIANTORG,Valiant Organics Limited,Fund Raising,To consider Fund Raising,2025-06-25
3e27b8520cc6a535be2454729fdd7ae5,VALIANTORG,Valiant Organics Limited,Board meeting Rescheduled,"Valiant Organics Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on Jun 25, 2025 To consider Fund Raising has been postponed",2025-06-25
98b5ae350b28c89cfe15f65903c2cd04,UNIONBANK,Union Bank of India,Other business matters,Board Meeting Intimation for considering Capital Plan of the Bank for FY 2025-26.,2025-06-25
5d656b3eca650e8f28a50b0dbe6df355,SIGNATURE,Signatureglobal (India) Limited,Fund Raising,To consider Fund Raising,2025-06-25
3afa529caa283ac267b78bc7b7e3029b,CANFINHOME,Can Fin Homes Limited,Fund Raising,To consider Fund Raising,2025-06-25
c4ca8e0bb42735f09141c76167581e96,EXICOM,Exicom Tele-Systems Limited,Fund Raising,"To consider Fund Raising by way of a Rights Issue to the eligible equity shareholders of the Company, subject to the receipt of applicable regulatory/statutory approvals as may be required",2025-06-25
6de2114e75b6915bda6066b60762e852,CEATLTD,CEAT Limited,Fund Raising,To consider Fund Raising,2025-06-25
e3c86affe98c0c6ec806b74c9e6282b6,BLUSPRING,Bluspring Enterprises Limited,Financial Results,"To consider and approve the financial results for the quarter and financial year ended March 31, 2025",2025-06-25
cb19c04acd286aa996a8e92845f44654,INDSWFTLTD,Ind-Swift Limited,Financial Results,"To inter alia consider and approve the audited financial results for the quarter and financial year ended March 31, 2025",2025-06-25
cf91adf7d7c7c42157c7c360b1c246da,NESTLEIND,Nestle India Limited,Bonus,To consider and approve the proposal for issue of bonus shares,2025-06-26
b4cd9eb5fefd96d5a0da8972849db351,SEMAC,SEMAC CONSULTANTS LIMITED,Other business matters,To consider acquisition of Equity Shares,2025-06-26
abbe483b5877271870577912674b6b4c,KAYA,Kaya Limited,Fund Raising,To consider Fund Raising,2025-06-26
8f9b73e7c077cc744e4040df799ef7a9,EXCEL,Excel Realty N Infra Limited,Other business matters,To consider other business matters,2025-06-26
b27c019de6965186197cbced47b2bfae,DIGITIDE,Digitide Solutions Limited,Financial Results,"To consider and approve the audited financial results for the period ended March 31, 2025",2025-06-26
12d42cfd8595bc294484e62c2fd741db,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Other business matters,To consider other business matters.,2025-06-26
40db65d082a44773b86241ca01595e4f,HEADSUP,Heads UP Ventures Limited,Fund Raising,To consider Fund Raising,2025-06-26
81c3a3be266e591ca0685a2df597729c,SATIN,Satin Creditcare Network Limited,Fund Raising,To consider Fund Raising,2025-06-27
55f03fed7494a0110c1c6ae223d2eccf,ALPSINDUS,Alps Industries Limited,Financial Results,"To consider and approve the financial results for the period ended March 31, 2025",2025-06-27
fb5627a21f8abbf4449d56c9985c3c00,ALPSINDUS,Alps Industries Limited,Financial Results,"To consider and approve the audited financial results for the period ended March 31, 2025",2025-06-27
9f803f38296e4dd28682600beaed48ec,BAGFILMS,B.A.G Films and Media Limited,Other business matters,To consider other business matters,2025-06-27
1918390e3ed44a1a4283c6c584ec1177,HAL,Hindustan Aeronautics Limited,Dividend,To consider final dividend for the FY 2024-25,2025-06-27
80f1001bb3fb0c6656f6e70f77536886,INNOVANA,Innovana Thinklabs Limited,Fund Raising,"To consider raising capital by way of issuance of securities through a preferential allotment in accordance with the SEBI (Issue of Capital and Disclosure Requirements) Regulations, 2018 and the Companies Act, 2013",2025-06-27
28329224f5479bce8bb2184d71256053,JGCHEM,J.G.Chemicals Limited,Dividend,To Recommend dividend,2025-06-27
8d9cb6ace6bdaec4bc25e1dd1cf1d2f9,WSI,W S Industries (I) Limited,Fund Raising/Other business matters,To consider Fund Raising and other business matters,2025-06-27
35b675823f7ebd5f27237ce73619bca6,KAUSHALYA,Kaushalya Infrastructure Development Corporation Limited,Other business matters,1. To consider and approve the draft Postal Ballot Notice and other matters as per notice,2025-06-28
279ea967687616b6ab5100e8be1d4303,HUBTOWN,Hubtown Limited,Other business matters,"To consider other business matters  : 1 .To consider and approve the draft Scheme of Arrangement between the Company and 25 West Realty Private Limited ( 25 West ) pursuant to provisions of Sections 230-232 of the Companies Act, 2013, and other applicable laws, subject to receipt of requisite approvals ( Scheme ). The Scheme would envisage merger of 25 West into and with the Company. 25 West is a group company / a company being jointly controlled by persons forming part of the Promoter and Promoter Group of the Company. 25 West is currently developing a super luxury residential project named  25 West  located at CTS No. B/908, B/909, B/910, B/911 of Village Bandra at Mount Mary Hills, Kadeshwari Mandir Marg, Bandra West, Mumbai.",2025-06-30
3af5847ccca48505c955518212ff4dbf,CGCL,Capri Global Capital Limited,Fund Raising,To consider Fund Raising,2025-06-30
667529ee098db7879def9c0ece797e59,RCF,Rashtriya Chemicals and Fertilizers Limited,Fund Raising,"Debenture Allotment Committee to consider and approve the issuance of Unsecured, Redeemable, Non-Cumulative, Taxable, Non-Convertible Bonds in the nature of  Non-Convertible Debentures (NCDs) to be issued on Private Placement basis, aggregating to total issue size of Rs.300 crore with a base issue size of Rs. 200 crore with an option to retain oversubscription of Rs.100 crore.",2025-06-30
a2802d195e06234bca98a45f42e16ceb,ASTEC,Astec LifeSciences Limited,Fund Raising,"To consider, discuss and decide various matters in connection with the Rights Issue, including the specific terms of the Rights Issue, such as the determination of the Rights Issue price and related payment mechanism, rights entitlement ratio, the record date, timing of the Rights Issue and other terms and conditions with respect to the Rights Issue, subject to the receipt of in-principle approval from the stock exchanges or such other regulatory authorities as may be required",2025-06-30
3aecff5105beae61b3b70dda0c9d9156,AKSHAR,Akshar Spintex Limited,Other business matters,"To consider and approve the Resignation of Mr Dheeraj Sahu Kumar, Company Secretary & Compliance Officer & Appointment of Mr.Mitesh Suvagiya & Co. Practicing Cost Accountant as a Cost Auditor of the Company for the financial year 2025-26and any other business matter",2025-06-30
31ce36399f6147dd3893b6bb0017fc1f,BASML,Bannari Amman Spinning Mills Limited,Fund Raising,"To consider and approve the raising of funds by issue of Equity Shares, or any other financial instruments convertible into Equity Shares (including warrants, or otherwise) by way of Preferential Allotment or Private Placement.",2025-06-30
2b5a258341edbcc8bcc65645f9b73aad,TIJARIA,Tijaria Polypipes Limited,Other business matters,"1. To consider and Approve the resignation letter of Mr. Ashok Kumar (Non Executive, Independent Director of the Company w.e.f. 30/06/2025.2. To Consider and Approve the resignation letter of Mrs. Khushi Nagrath (Non Executive, Independent Director of the Company w.e.f. 30/06/2025.3. To Consider and Approve the resignation letter of Mrs. Anjali Udhwani (Non Executive, Independent Director of the Company w.e.f. 30/06/2025.4. To Consider, Reschedule & re- constitution of Various Committee of Directors. 5. Any other matter with the permission of Board.",2025-06-30
